Specific_Cell_Ontology_ID	Cell_Marker
CL:0000669	THY1
CL:0000669	CTGF
CL:0000669	PDGFRALPHA
CL:0000669	ABCC8
CL:0000669	COL4A1
CL:0000669	MCAM
CL:0000669	DES
CL:0000669	CD34
CL:0000669	CAKUT2
CL:0000669	CXCR4
CL:0000669	CSPG4
CL:0000669	RGC5
CL:0000669	MCAM
CL:0000669	ECM1
CL:0000669	PDGFRB
CL:0000669	PREF-1
CL:0000669	ATP13A5
CL:0000669	ANPEP
CL:0000669	MCAM
CL:0000669	ALPG
CL:0000669	POSTN
CL:0000669	TAGLN
CL:0000669	COX4I2
CL:0000669	NR1H3
CL:0000669	TEX41
CL:0000669	MYO1B
CL:0000669	ANPEP
CL:0000669	PDGFA
CL:0000669	PDGFRB
CL:0000669	AOC3
CL:0000669	MFGE8
CL:0000669	NDUFA4L2
CL:0000669	CD105
CL:0000669	MCAM
CL:0000669	AMBP
CL:0000669	ITGB1
CL:0000669	CYGB
CL:0000669	COX4I2
CL:0000669	CD34
CL:0000669	ANPEP
CL:0000669	ACKR3
CL:0000669	MGP
CL:0000669	CD248
CL:0000669	MYL9
CL:0000669	MYO1B
CL:0000669	PDGFRB
CL:0000669	ALPHA-SMA
CL:0000669	DES
CL:0000669	CD36
CL:0000669	VTN
CL:0000669	ANPEP
CL:0000669	HIGD1B
CL:0000669	RGC5
CL:0000669	ANPEP
CL:0000669	ALPHA-SMA
CL:0000669	MYL9
CL:0000669	MCAM
CL:0000669	DES
CL:0000669	CD34
CL:0000669	PREF-1
CL:0000669	NGFR
CL:0000669	HEYL
CL:0000669	ALPHA-SMA
CL:0000669	MCAM
CL:0000669	ALPHA-SMA
CL:0000669	CYGB
CL:0000669	GPIHBP1
CL:0000669	PDGFRB
CL:0000669	CD248
CL:0000669	ANGPT1
CL:0000669	ALPHA-SMA
CL:0000669	MSX1
CL:0000669	ENPEP
CL:0000695	NDNL2
CL:0000695	SLITRK5
CL:0000695	RELN
CL:0000695	FAM196A
CL:0000695	RELN
CL:0000695	DACT1
CL:0000695	CACNA2D2
CL:0000695	ST3GAL5
CL:0000695	LZTFL1
CL:0000695	SLC25A46
CL:0000695	RELN
CL:0000695	ERC2
CL:0000695	CIB2
CL:0000695	EOMES
CL:0000695	B3GALT1
CL:0000695	LHX1
CL:0000695	CNTNAP2
CL:0000695	LINGO2
CL:0000695	TBR1
CL:0000695	ABCC5
CL:0000695	NUDT2
CL:0000695	CNRIP1
CL:0000695	HAR1A
CL:0000695	TMEM170B
CL:0000695	WRAP73
CL:0000695	CDH4
CL:0000695	ZIC2
CL:0000695	NBEA
CL:0000695	SRGAP3
CL:0000695	BARHL2
CL:0000695	RGMB
CL:0000695	ZCCHC12
CL:0000695	TBCK
CL:0000695	SMOC2
CL:0000695	DNM3
CL:0000695	GDF5
CL:0000695	DIPK1B
CL:0000695	NRG1
CL:0000695	RAB11FIP2
CL:0000695	SLC17A6
CL:0000695	WNT7B
CL:0000695	EDIL3
CL:0000695	CNR1
CL:0000695	ISOC1
CL:0000695	TMEM163
CL:0000695	FLRT3
CL:0000695	DNCI1
CL:0000695	PABPN1
CL:0000695	KCNH7
CL:0000695	DACH1
CL:0000695	ZDBF2
CL:0000695	CLSTN2
CL:0000695	MAPK8
CL:0000695	LINGO1
CL:0000695	HOMER2
CL:0000695	MAP9
CL:0000695	RALGPS2
CL:0000695	CD15S
CL:0000695	ATP13A2
CL:0000695	GNL3L
CL:0000695	FAT3
CL:0000695	PNOC
CL:0000695	NDNF
CL:0000695	NHLH2
CL:0000695	TCEAL1
CL:0000695	LNPK
CL:0000695	TRIM44
CL:0000695	RNF138
CL:0000695	SLC25A36
CL:0000695	CALB2
CL:0000695	EMX2
CL:0000695	RELN
